State,FF_Rest_2016,FF_Rest_2017,FF_Rest_2018
AK,415,424,410
AL,3483,3367,3322
AR,1850,1793,1881
AZ,4046,4114,4071
CA,26138,26223,25842
CO,3691,3536,3636
CT,2111,2075,2021
DE,585,589,594
FL,11002,11055,11055
GA,6991,7008,6901
HI,1297,1309,1274
IA,1955,1892,1883
ID,967,985,997
IL,9227,9105,9003
IN,4560,4426,4294
KS,1940,1896,1874
KY,2941,2936,2896
LA,2820,2872,2927
MA,4565,4493,4534
MD,4627,4528,4525
ME,902,898,884
MI,6413,6351,6283
MN,3333,3292,3258
MO,4116,3966,3964
MS,1962,1883,1895
MT,715,715,720
NC,6452,6502,6630
ND,431,418,382
NE,1247,1250,1228
NH,1027,1039,1039
NJ,6628,6438,6375
NM,1271,1308,1324
NV,2109,2132,2110
NY,12713,13332,14329
OH,8966,8743,8638
OK,2480,2488,2494
OR,2901,2822,2757
PA,8315,8225,8207
RI,831,810,794
SC,3229,3267,3303
SD,533,517,498
TN,4412,4422,4405
TX,16214,16427,16652
UT,1898,1921,1921
VA,5843,-4061,5908
VT,383,370,360
WA,4881,4835,4767
WI,3319,3356,3326
WV,1272,1241,1239
WY,367,391,403
